id,diva_field,file_name,year,month,day,mode,sample_type,sample_id,en_field,chem_field,plant_field,species_code,tune_page,project_name,ms_method,uplc_method,ms_mode,asoc_blank,asoc_rti,rti_pass,notes,all_inga,chemocoding,raw_check,mzxml,updated,error message
2023,DN2168,DN2168,2016,Apr,16,Negative,Sample,EN2168,2168,cLA1686,,LA13,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2168""}"
2024,DN2169,DN2169,2016,Apr,16,Negative,Sample,EN2169,2169,cT199,,T75,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2169""}"
2026,DN2170,DN2170,2016,Apr,16,Negative,Sample,EN2170,2170,cLA3336,336,LA62,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2170""}"
2027,DN2171,DN2171,2016,Apr,16,Negative,Sample,EN2171,2171,cT630,1338,T76,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2171""}"
2028,DN2172,DN2172,2016,Apr,16,Negative,Sample,EN2172,2172,cT30,332,T60,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2172""}"
2029,DN2173,DN2173,2016,Apr,16,Negative,Sample,EN2173,2173,cT30,332,T60,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2173""}"
2030,DN2174,DN2174,2016,Apr,16,Negative,Sample,EN2174,2174,cLA533,,LA35,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2174""}"
2031,DN2175,DN2175,2016,Apr,16,Negative,Sample,EN2175,2175,cLA3106,106,LA52,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2175""}"
2032,DN2176,DN2176,2016,Apr,16,Negative,Sample,EN2176,2176,cM452,,M24,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2176""}"
2033,DN2177,DN2177,2016,Apr,16,Negative,Sample,EN2177,2177,cLEG761,,COJR,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2177""}"
2034,DN2178,DN2178,2016,Apr,16,Negative,Sample,EN2178,2178,cLA1023,,LA46,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2178""}"
2035,DN2179,DN2179,2016,Apr,16,Negative,Sample,EN2179,2179,cT467,1056,T75,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2179""}"
2036,DN2180,DN2180,2016,Apr,16,Negative,Sample,EN2180,2180,cM749,,M36,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2180""}"
2037,DN2181,DN2181,2016,Apr,16,Negative,Sample,EN2181,2181,cLA905,,LA32,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_354,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2181""}"
2039,DN2182,DN2182,2016,Apr,16,Negative,Sample,EN2182,2182,cFG227,,N41,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_355,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2182""}"
2040,DN2183,DN2183,2016,Apr,16,Negative,Sample,EN2183,2183,cT121,,T60,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_355,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2183""}"
2041,DN2184,DN2184,2016,Apr,16,Negative,Sample,EN2184,2184,cM865,,M72,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_355,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2184""}"
2047,DN2190,DN2190,2016,Apr,16,Negative,Sample,EN2190,2190,cT1168,1980,T76,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_355,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2190""}"
2048,DN2191,DN2191,2016,Apr,16,Negative,Sample,EN2191,2191,cT1098,1848,T76,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_355,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2191""}"
2049,DN2192,DN2192,2016,Apr,16,Negative,Sample,EN2192,2192,cFG759,,N32,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_355,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2192""}"
