id,sample,species_code_sample,rt,mz,pc_id,tic,date_update,error message
1097,DN1399,LA10_1399_2,19.3122,578.1374,LA10_39,5464.4223,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1098,DN1399,LA10_1399_2,15.5407,581.1659,LA10_1,289485.0750,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1099,DN1399,LA10_1399_2,12.9687,581.1665,LA10_17,4994.5825,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1100,DN1399,LA10_1399_2,15.5389,582.1692,LA10_1,90681.6146,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1101,DN1399,LA10_1399_2,15.5387,583.1714,LA10_1,19420.3119,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1102,DN1399,LA10_1399_2,18.5565,591.1123,LA10_5,3974.2824,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1103,DN1399,LA10_1399_2,13.2128,591.1437,LA10_65,4775.3297,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1104,DN1399,LA10_1399_2,14.1367,591.1423,LA10_11,5096.1541,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1105,DN1399,LA10_1399_2,13.2110,591.6463,LA10_65,3008.2559,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1106,DN1399,LA10_1399_2,14.1296,591.6431,LA10_11,2850.1334,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1107,DN1399,LA10_1399_2,18.5565,592.1192,LA10_5,3886.7806,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
